items,weight
S2K_item_1,0.011847753
S2K_item_2,0.04134096
S2K_item_3,0.047739085
S2K_item_4,0.040495757
S2K_item_5,0.059071723
S2K_item_6,0.044740066
S2K_item_7,0.04847446
S2K_item_8,0.07680873
S2K_item_9,0.1809966
S2K_item_10,0.058957487
S2K_item_11,0.059095085
S2K_item_12,0.0749144
S2K_item_13,0.08827934
S2K_item_14,0.083967775
S2K_item_15,0.1608751
S2K_item_16,0.08284492
S2K_item_17,0.072663166
S2K_item_18,0.07865899
S2K_item_19,0.04456037
S2K_item_20,0.09916677
S2K_item_21,0.0876011
S2K_item_22,0.057445556
S2K_item_23,0.054643396
S2K_item_24,0.023145258
